unicode,sample,keywords,k_keywords
\U0001F92B,🤫,"quiet , shush , shushing face","조용히, 쉿, 쉿 손을 댄 얼굴"
\U0001F914,🤔,"face , thinking","얼굴, 생각"
\U0001FAE1,🫡,"OK , salute , saluting face , sunny , troops , yes","괜찮다, 경례, 경례하는 얼굴, 화창한, 군인, 네"
\U0001F910,🤐,"face , mouth , zipper , zipper-mouth face","얼굴, 입, 지퍼, 지퍼 입술 하는 얼굴"
\U0001F928,🤨,"distrust , face with raised eyebrow , skeptic , disapproval , disbelief , mild surprise , scepticism","의심, 이마를 찌푸리고 있는 얼굴, 회의, 불신, 믿지 않음, 약간의 놀람, 회의"
\U0001F610,😐,"deadpan , face , meh , neutral","무표정한, 얼굴, 으음, 중립적인"
\U0001F611,😑,"expressionless , face , inexpressive , meh , unexpressive","표정 없는, 얼굴, 표현 없는, 으음, 표현이 없는"
\U0001F636,😶,"face , face without mouth , mouth , quiet , silent","얼굴, 입이 없는 얼굴, 입, 조용한, 조용한"
\U0001FAE5,🫥,"depressed , disappear , dotted line face , hide , introvert , invisible","우울한, 사라지다, 점선 얼굴, 숨기다, 내성적, 보이지 않는"
\U0001F636 \U000200D \U0001F32B \U000FE0F,😶‍🌫️,"absentminded , face in clouds , face in the fog , head in clouds","망상에 잠긴, 구름 속의 얼굴, 안개 속의 얼굴"
\U0001F60F,😏,"face , smirk , smirking face","얼굴, 경멸하는 미소, 조롱하는 얼굴"
\U0001F612,😒,"face , unamused , unhappy","얼굴, 흥미 없음, 불행"
\U0001F644,🙄,"eyeroll , eyes , face , face with rolling eyes , rolling","눈을 돌리다, 눈, 얼굴, 눈을 돌리며 하는 얼굴, 돌리기"
\U0001F62C,😬,"face , grimace , grimacing face","얼굴, 찡그림, 찡그리는 얼굴"
\U0001F62E \U000200D \U0001F4A8,😮‍💨,"exhale , face exhaling , gasp , groan , relief , whisper , whistle","내쉬다, 내쉬는 얼굴, 숨이 터지다, 신음, 안도, 속삭임, 휘파람"
\U0001F925,🤥,"face , lie , lying face , pinocchio","얼굴, 거짓말, 거짓말하는 얼굴, 피노키오"
\U0001FAE8,🫨,"earthquake , face , shaking , shock , vibrate","지진, 얼굴, 떨림, 충격, 진동"
\U0001F60C,😌,"face , relieved","얼굴, 안심"
\U0001F614,😔,"dejected , face , pensive","낙담한, 얼굴, 생각에 잠긴"
\U0001F62A,😪,"face , good night , sleep , sleepy face","얼굴, 잘자, 잠, 졸린 얼굴"
\U0001F924,🤤,"drooling , face","침 흘리는, 얼굴"
\U0001F634,😴,"face , good night , sleep , sleeping face , ZZZ","얼굴, 잘자, 잠, 자는 얼굴, ZZZ"
\U0001F637,😷,"cold , doctor , face , face with medical mask , mask , sick","추움, 의사, 얼굴, 의료용 마스크를 한 얼굴, 마스크, 아픔"
\U0001F912,🤒,"face , face with thermometer , ill , sick , thermometer","얼굴, 체온계를 가진 얼굴, 아픔, 아픈, 체온계"
\U0001F915,🤕,"bandage , face , face with head-bandage , hurt , injury","붕대, 얼굴, 머리에 붕대를 한 얼굴, 다침, 상처"
\U0001F922,🤢,"face , nauseated , vomit","얼굴, 메스꺼움, 구토"
\U0001F92E,🤮,"face vomiting , puke , sick , vomit","구토하는 얼굴, 구토, 아픔, 구토"
\U0001F927,🤧,"face , gesundheit , sneeze , sneezing face","얼굴, 건강, 재채기, 재채기하는 얼굴"
\U0001F975,🥵,"feverish , heat stroke , hot , hot face , red-faced , sweating","열이 나는, 열사병, 뜨거운, 뜨거운 얼굴, 얼굴이 빨개지는, 땀 흘리는"
\U0001F976,🥶,"blue-faced , cold , cold face , freezing , frostbite , icicles","푸른 얼굴, 추운, 추운 얼굴, 얼어붙은, 동상, 고드름"
\U0001F974,🥴,"dizzy , intoxicated , tipsy , uneven eyes , wavy mouth , woozy face","어지러운, 중독된, 취한, 눈이 교차된, 구불구불한 입, 어지러운 얼굴"
\U0001F635,😵,"crossed-out eyes , dead , face , face with crossed-out eyes , knocked out","교차된 눈, 죽은, 얼굴, 교차된 눈을 가진 얼굴, 기절한"
\U0001F635 \U000200D \U0001F4AB,😵‍💫,"dizzy , face with spiral eyes , hypnotized , spiral , trouble , whoa","어지러운, 나선 눈을 가진 얼굴, 최면 상태, 나선, 곤란, 오"
\U0001F92F,🤯,"exploding head , mind blown , shocked","터지는 머리, 정신이 날아가다, 충격을 받다"
\U0001F920,🤠,"cowboy , cowgirl , face , hat","카우보이, 카우걸, 얼굴, 모자"
\U0001F973,🥳,"celebration , hat , horn , party , partying face","축하, 모자, 호른, 파티, 파티하는 얼굴"
\U0001F978,🥸,"disguise , disguised face , face , glasses , incognito , nose","변장, 변장한 얼굴, 얼굴, 안경, 은신, 코"
\U0001F60E,😎,"bright , cool , face , smiling face with sunglasses , sun , sunglasses","밝은, 멋진, 얼굴, 선글라스를 한 미소 짓는 얼굴, 해, 선글라스"
\U0001F913,🤓,"face , geek , nerd","얼굴, 괴짜, 너드"
\U0001F9D0,🧐,"face , face with monocle , monocle , stuffy , wealthy","얼굴, 단안경을 쓴 얼굴, 단안경, 거드름, 부자"
\U0001F615,😕,"confused , face , meh","혼란스러운, 얼굴, 으음"
\U0001FAE4,🫤,"disappointed , face with diagonal mouth , meh , skeptical , unsure","실망한, 대각선으로 된 입을 가진 얼굴, 으음, 회의적, 불확실"
\U0001F61F,😟,"face , worried","얼굴, 걱정"
\U0001F641,🙁,"face , frown , slightly frowning face","얼굴, 찡그림, 약간 찡그린 얼굴"
\U0002639,☹,"face , frown , frowning face","얼굴, 찡그림, 찡그린 얼굴"
\U0001F62E,😮,"face , face with open mouth , mouth , open , sympathy","얼굴, 입을 벌린 얼굴, 입, 벌린, 공감"
\U0001F62F,😯,"face , hushed , stunned , surprised","얼굴, 조용한, 깜짝 놀란, 놀란"
\U0001F632,😲,"astonished , face , shocked , totally","놀란, 얼굴, 충격을 받은, 완전히"
\U0001F633,😳,"dazed , face , flushed","혼동된, 얼굴, 얼굴이 붉은"
\U0001F97A,🥺,"begging , mercy , pleading face , puppy eyes","구걸, 구명, 간청하는 얼굴, 강아지 눈"
\U0001F979,🥹,"angry , cry , face holding back tears , proud , resist , sad","화난, 울다, 눈물을 참는 얼굴, 자랑스러운, 저항하다, 슬픈"
\U0001F626,😦,"face , frown , frowning face with open mouth , mouth , open","얼굴, 찡그림, 입 벌리는 찡그린 얼굴, 입"
\U0001F627,😧,"anguished , face","고통받는, 얼굴"
\U0001F628,😨,"face , fear , fearful , scared","얼굴, 두려움, 두려워하는, 겁먹은"
\U0001F630,😰,"anxious face with sweat , blue , cold , face , rushed , sweat","땀 흘리며 초조한 얼굴, 푸른, 추운, 얼굴, 서두르는, 땀"
\U0001F625,😥,"disappointed , face , relieved , sad but relieved face , whew","실망한, 얼굴, 안도한, 슬픈데 안도한 얼굴, 휴"
\U0001F622,😢,"cry , crying face , face , sad , tear","울음, 울고 있는 얼굴, 얼굴, 슬픈, 눈물"
\U0001F62D,😭,"cry , face , loudly crying face , sad , sob , tear","울음, 얼굴, 크게 우는 얼굴, 슬픔, 통곡, 눈물"
\U0001F631,😱,"face , face screaming in fear , fear , munch , scared , scream","얼굴, 무서움에 소리 지르는 얼굴, 두려움, 뭉크, 겁먹은, 비명"
\U0001F616,😖,"confounded , face","혼란스러운, 얼굴"
\U0001F623,😣,"face , persevere , persevering face","얼굴, 끊임없이 노력하는 얼굴"
\U0001F61E,😞,"disappointed , face","실망한, 얼굴"
\U0001F613,😓,"cold , downcast face with sweat , face , sweat","추운, 땀 흘리는 얼굴, 얼굴, 땀"
\U0001F629,😩,"face , tired , weary","얼굴, 피곤한, 지친"
\U0001F62B,😫,"face , tired","얼굴, 지친"
\U0001F971,🥱,"bored , tired , yawn , yawning face","심심한, 지친, 하품, 하품하는 얼굴"
\U0001F624,😤,"face , face with steam from nose , triumph , won","얼굴, 코에서 증기 나오는 얼굴, 승리, 이기다"
\U0001F621,😡,"angry , enraged , face , mad , pouting , rage , red","화난, 격분한, 얼굴, 화, 삐죽, 분노, 붉은"
\U0001F620,😠,"anger , angry , face , mad","분노, 화난, 얼굴, 화난"
\U0001F92C,🤬,"face with symbols on mouth , swearing , cursing","입에 심볼이 있는 얼굴, 욕설, 욕"
\U0001F608,😈,"face , fairy tale , fantasy , horns , smile , smiling face with horns","얼굴, 동화, 판타지, 뿔, 미소, 뿔을 가진 웃는 얼굴"
\U0001F47F,👿,"angry face with horns , demon , devil , face , fantasy , imp","뿔이 달린 화난 얼굴, 악마, 악마, 얼굴, 판타지, 임프"
\U0001F480,💀,"death , face , fairy tale , monster , skull","죽음, 얼굴, 동화, 괴물, 해골"
\U0002620,☠,"crossbones , death , face , monster , skull , skull and crossbones","해골과 해골, 죽음, 얼굴, 괴물"
\U0001F4A9,💩,"dung , face , monster , pile of poo , poo , poop","오물, 얼굴, 괴물, 똥, 대변, 똥"
\U0001F921,🤡,"clown , face","광대, 얼굴"
\U0001F479,👹,"creature , face , fairy tale , fantasy , monster , ogre , troll","생물, 얼굴, 동화, 판타지, 괴물, 오우거, 트롤"
\U0001F47A,👺,"creature , face , fairy tale , fantasy , goblin , monster","생물, 얼굴, 동화, 판타지, 고블린, 괴물"
\U0001F47B,👻,"creature , face , fairy tale , fantasy , ghost , monster","생물, 얼굴, 동화, 판타지, 유령, 괴물"
\U0001F47D,👽,"alien , creature , extraterrestrial , face , fantasy , ufo","외계인, 생물, 외계인, 얼굴, 판타지, UFO"
\U0001F47E,👾,"alien , creature , extraterrestrial , face , monster , ufo","외계인, 생물, 외계인, 얼굴, 괴물, UFO"
\U0001F916,🤖,"face , monster , robot","얼굴, 괴물, 로봇"
\U0001F63A,😺,"cat , face , grinning , mouth , open , smile","고양이, 얼굴, 미소, 입, 열린, 미소 짓는 고양이"
\U0001F638,😸,"cat , eye , face , grin , grinning cat with smiling eyes , smile","고양이, 눈, 얼굴, 미소, 미소 짓는 고양이"
\U0001F639,😹,"cat , cat with tears of joy , face , joy , tear","고양이, 눈, 얼굴, 기쁨, 눈물, 눈물"
\U0001F63B,😻,"cat , eye , face , heart , love , smile , smiling cat with heart-eyes","고양이, 눈, 얼굴, 하트, 사랑, 미소, 미소 짓는 하트 눈 고양이"
\U0001F63C,😼,"cat , cat with wry smile , face , ironic , smile , wry","고양이, 눈, 얼굴, 아이러니, 미소, 비꼬는 미소 짓는 고양이"
\U0001F63D,😽,"cat , eye , face , kiss , kissing cat","고양이, 눈, 얼굴, 키스, 키스하는 고양이"
\U0001F640,🙀,"cat , face , oh , surprised , weary","고양이, 얼굴, 오, 놀람, 지쳐, 놀란 고양이"
\U0001F63F,😿,"cat , cry , crying cat , face , sad , tear","고양이, 울음, 울고 있는 고양이, 얼굴, 슬픔, 눈물"
\U0001F63E,😾,"cat , face , pouting","고양이, 얼굴, 불평"
\U0001F648,🙈,"evil , face , forbidden , monkey , see , see-no-evil monkey","악당, 얼굴, 금지, 원숭이, 안보다, 안 보는 원숭이"
\U0001F649,🙉,"evil , face , forbidden , hear , hear-no-evil monkey , monkey","악당, 얼굴, 금지, 듣다, 듣지 말라는 원숭이, 원숭이"
\U0001F64A,🙊,"evil , face , forbidden , monkey , speak , speak-no-evil monkey","악당, 얼굴, 금지, 원숭이, 말하다, 말하지 말라는 원숭이"
\U0001F48C,💌,"heart , letter , love , mail","하트, 편지, 사랑, 우편"
\U0001F498,💘,"arrow , cupid , heart with arrow","화살표, 큐피드, 화살표가 있는 하트"
\U0001F49D,💝,"heart with ribbon , ribbon , valentine","리본이 달린 하트, 리본, 발렌타인"
\U0001F496,💖,"excited , sparkle , sparkling heart","신이 난, 반짝임, 반짝이는 하트"
\U0001F497,💗,"excited , growing , growing heart , nervous , pulse","신이 난, 성장하는, 성장하는 하트, 긴장한, 맥박"
\U0001F493,💓,"beating , beating heart , heartbeat , pulsating","뛰는, 뛰는 심장, 심박, 뛰는"
\U0001F49E,💞,"revolving , revolving hearts","회전하는, 회전하는 하트"
\U0001F495,💕,"love , two hearts","사랑, 두 개의 하트"
\U0001F49F,💟,"heart , heart decoration","하트, 하트 장식"
\U0002763,❣,"exclamation , heart exclamation , mark , punctuation","느낌표, 하트 느낌표, 마크, 문장부호"
\U0001F494,💔,"break , broken , broken heart","부수는, 부서진, 부서진 하트"
\U0002764 \U000FE0F \U000200D \U0001F525,❤️‍🔥,"burn , heart , heart on fire , love , lust , sacred heart","불타는, 하트, 불에 타는 하트, 사랑, 욕망, 신성한 하트"
\U0002764 \U000FE0F \U000200D \U0001FA79,❤️‍🩹,"healthier , improving , mending , mending heart , recovering , recuperating , well","더 건강해지는, 개선되는, 고치는, 고치는 하트, 회복 중인, 회복하는, 좋은"
\U0002764,❤,"heart , red heart","하트, 빨간 하트"
\U0001FA77,🩷,"cute , heart , like , love , pink","귀여운, 하트, 좋아요, 사랑, 핑크색"
\U0001F9E1,🧡,"orange , orange heart","주황색, 주황색 하트"
\U0001F49B,💛,"yellow , yellow heart","노란색, 노란색 하트"
\U0001F49A,💚,"green , green heart","초록색, 초록색 하트"
\U0001F499,💙,"blue , blue heart","파란색, 파란색 하트"
\U0001FA75,🩵,"cyan , heart , light blue , light blue heart , teal","청록색, 하트, 연한 파란색, 연한 파란색 하트, 청록색"
\U0001F49C,💜,"purple , purple heart","보라색, 보라색 하트"
\U0001F90E,🤎,"brown , heart","갈색, 하트"
\U0001F5A4,🖤,"black , black heart , evil , wicked","검은색, 검은색 하트, 악마, 사악한"
\U0001FA76,🩶,"gray , grey heart , heart , silver , slate","회색, 회색 하트, 하트, 은색, 슬레이트"
\U0001F90D,🤍,"heart , white","하트, 흰색"
\U0001F48B,💋,"kiss , kiss mark , lips","키스, 입술 표시, 입술"
\U0001F4AF,💯,"100 , full , hundred , hundred points , score","100, 가득한, 백, 백 점, 점수"
\U0001F4A2,💢,"anger symbol , angry , comic , mad","분노 기호, 화난, 만화, 미친"
\U0001F4A5,💥,"boom , collision , comic","펑, 충돌, 만화"
\U0001F4AB,💫,"comic , dizzy , star","만화, 어지러움, 별"
\U0001F4A6,💦,"comic , splashing , sweat , sweat droplets","만화, 뿌리는, 땀, 땀방울"
\U0001F4A8,💨,"comic , dash , dashing away , running","만화, 대시, 도망가는, 달리는"
\U0001F573,🕳,hole,구멍
\U0001F4AC,💬,"balloon , bubble , comic , dialog , speech","풍선, 거품, 만화, 대화, 말"
\U0001F441 \U000FE0F \U000200D \U0001F5E8 \U000FE0F,👁️‍🗨️,"balloon , bubble , eye , eye in speech bubble , speech , witness","풍선, 거품, 눈, 말풍선 안의 눈, 말, 증인"
\U0001F5E8,🗨,"balloon , bubble , dialog , left speech bubble , speech","풍선, 거품, 대화, 왼쪽 말풍선, 말"
\U0001F5EF,🗯,"angry , balloon , bubble , mad , right anger bubble","화난, 풍선, 거품, 화난, 오른쪽 분노 풍선"
\U0001F4AD,💭,"balloon , bubble , comic , thought","풍선, 거품, 만화, 생각"
\U0001F4A4,💤,"comic , good night , sleep , ZZZ","만화, 굿나잇, 잠, ZZZ"
\U0001F44B,👋,"hand , wave , waving","손, 인사, 손 흔들기"
\U0001F91A,🤚,"backhand , raised , raised back of hand","등손, 들린, 등 손바닥"
\U0001F590,🖐,"finger , hand , hand with fingers splayed , splayed","손가락, 손, 손가락 벌린 손, 벌린"
\U000270B,✋,"hand , high 5 , high five , raised hand","손, 하이파이브, 하이파이브, 들린 손"
\U0001F596,🖖,"finger , hand , spock , vulcan , vulcan salute","손가락, 손, 스포크, 버클, 버클인 인사"
\U0001FAF1,🫱,"hand , right , rightward , rightwards hand","손, 오른쪽, 오른쪽으로 향하는 손"
\U0001FAF2,🫲,"hand , left , leftward , leftwards hand","손, 왼쪽, 왼쪽으로 향하는 손"
\U0001FAF3,🫳,"dismiss , drop , palm down hand , shoo","내쫓다, 떨어뜨리다, 손바닥 아래로 하는 손, 쉿"
\U0001FAF4,🫴,"beckon , catch , come , offer , palm up hand","호출하다, 잡다, 오다, 제공하다, 손바닥 위로 하는 손"
\U0001FAF7,🫷,"high five , leftward , leftwards pushing hand , push , refuse , stop , wait","하이파이브, 왼쪽으로 밀어내는 손, 밀다, 거절하다, 멈추다, 기다리다"
\U0001FAF8,🫸,"high five , push , refuse , rightward , rightwards pushing hand , stop , wait","하이파이브, 밀다, 거절하다, 오른쪽으로 밀어내는 손, 멈추다, 기다리다"
\U0001F44C,👌,"hand , OK","손, 좋아요"
\U0001F90C,🤌,"fingers , hand gesture , interrogation , pinched , sarcastic","손가락, 손 모양, 심문, 집게집, 풍자적인"
\U0001F90F,🤏,"pinching hand , small amount","집게집는 손, 작은 양"
\U000270C,✌,"hand , v , victory","손, V, 승리"
\U0001F91E,🤞,"cross , crossed fingers , finger , hand , luck","십자, 교차하는 손가락, 손가락, 손, 행운"
\U0001FAF0,🫰,"expensive , hand with index finger and thumb crossed , heart , love , money , snap","값이 비싼, 검지 손가락과 엄지손가락 교차한 손, 하트, 사랑, 돈, 스냅"
\U0001F91F,🤟,"hand , ILY , love-you gesture","손, ILY, 사랑하는 제스처"
\U0001F918,🤘,"finger , hand , horns , rock-on , sign of the horns","손가락, 손, 뿔, 록온, 뿔 모양"
\U0001F919,🤙,"call , call me hand , hand , hang loose , Shaka","호출, 전화해요 손, 손, 손 내려놓기, 샤카"
\U0001F448,👈,"backhand , backhand index pointing left , finger , hand , index , point","손등, 왼쪽을 가리키는 손등, 손가락, 손, 가리키다"
\U0001F449,👉,"backhand , backhand index pointing right , finger , hand , index , point","손등, 오른쪽을 가리키는 손등, 손가락, 손, 가리키다"
\U0001F446,👆,"backhand , backhand index pointing up , finger , hand , point , up","손등, 위를 가리키는 손등, 손가락, 손, 가리키다, 위"
\U0001F595,🖕,"finger , hand , middle finger","손가락, 손, 중지손가락"
\U0001F447,👇,"backhand , backhand index pointing down , down , finger , hand , point","손등, 아래를 가리키는 손등, 아래, 손가락, 손, 가리키다"
\U000261D,☝,"finger , hand , index , index pointing up , point , up","손가락, 손, 인덱스, 위를 가리키는 인덱스, 가리키다, 위"
\U0001FAF5,🫵,"index pointing at the viewer , point , you","뷰어를 가리키는 인덱스, 가리키다, 당신"
\U0001F44D,👍,"0001 , hand , thumb , thumbs up , up","손, 엄지, 엄지 척, 위"
\U0001F44E,👎,"-1 , down , hand , thumb , thumbs down","-1, 아래, 손, 엄지, 엄지 척 아래"
\U000270A,✊,"clenched , fist , hand , punch , raised fist","주먹, 손, 주먹, 펀치, 들어올리는 주먹"
\U0001F44A,👊,"clenched , fist , hand , oncoming fist , punch","주먹, 손, 주먹, 다가오는 주먹, 펀치"
\U0001F91B,🤛,"fist , left-facing fist , leftwards","주먹, 왼쪽으로 향하는 주먹, 왼쪽으로"
\U0001F91C,🤜,"fist , right-facing fist , rightwards","주먹, 오른쪽으로 향하는 주먹, 오른쪽으로"
\U0001F44F,👏,"clap , clapping hands , hand","박수, 박수치는 손, 손"
\U0001F64C,🙌,"celebration , gesture , hand , hooray , raised , raising hands","축하, 제스처, 손, 만세, 들린 손"
\U0001FAF6,🫶,"heart hands , love","하트 손 모양, 사랑"
\U0001F450,👐,"hand , open , open hands","손, 열린, 열린 손"
\U0001F932,🤲,"palms up together , prayer , cupped hands","손바닥을 합친 모습, 기도, 모아진 손"
\U0001F91D,🤝,"agreement , hand , handshake , meeting , shake","동의, 손, 악수, 미팅, 흔들기"
\U0001F64F,🙏,"ask , folded hands , hand , high 5 , high five , please , pray , thanks","부탁, 접은 손, 손, 하이파이브, 하이파이브, 부탁해, 기도, 감사합니다"
\U000270D,✍,"hand , write , writing hand","손, 쓰기, 쓰는 손"
\U0001F485,💅,"care , cosmetics , manicure , nail , polish","관심, 화장품, 매니큐어, 손톱, 폴리시"
\U0001F933,🤳,"camera , phone , selfie","카메라, 핸드폰, 셀카"
\U0001F4AA,💪,"biceps , comic , flex , flexed biceps , muscle","이두근, 만화, 굽히다, 굽힌 이두근, 근육"
\U0001F9BE,🦾,"accessibility , mechanical arm , prosthetic","접근성, 기계 팔, 보청기"
\U0001F9BF,🦿,"accessibility , mechanical leg , prosthetic","접근성, 기계 다리, 보청기"
\U0001F9B5,🦵,"kick , leg , limb","차기, 다리, 팔"
\U0001F9B6,🦶,"foot , kick , stomp","발, 차기, 밟다"
\U0001F442,👂,"body , ear","신체, 귀"
\U0001F9BB,🦻,"accessibility , ear with hearing aid , hard of hearing","접근성, 보청기가 달린 귀, 난청"
\U0001F443,👃,"body , nose","신체, 코"
\U0001F9E0,🧠,"brain , intelligent","뇌, 지능적인"
\U0001FAC0,🫀,"anatomical , cardiology , heart , organ , pulse","해부학, 심장, 장기, 맥박"
\U0001FAC1,🫁,"breath , exhalation , inhalation , lungs , organ , respiration","숨, 내쉼, 들이쉼, 폐, 장기, 호흡"
\U0001F9B7,🦷,"dentist , tooth","치과의사, 이"
\U0001F9B4,🦴,"bone , skeleton","뼈, 스켈레톤"
\U0001F440,👀,"eye , eyes , face","눈, 눈, 얼굴"
\U0001F441,👁,"body , eye","신체, 눈"
\U0001F445,👅,"body , tongue","신체, 혀"
\U0001F444,👄,"lips , mouth","입술, 입"
\U0001FAE6,🫦,"anxious , biting lip , fear , flirting , nervous , uncomfortable , worried","불안한, 입술을 깨물다, 두려움, 짝사랑, 초조한, 불편한, 걱정된"
\U0001F476,👶,"baby , young","아기, 어린"
\U0001F9D2,🧒,"child , gender-neutral , unspecified gender , young","아이, 성별 중립, 미정 성별, 어린"
\U0001F466,👦,"boy , young","소년, 어린"
\U0001F467,👧,"girl , Virgo , young , zodiac","소녀, 처녀자리, 어린, 별자리"
\U0001F9D1,🧑,"adult , gender-neutral , person , unspecified gender","성인, 성별 중립, 사람, 미정 성별"
\U0001F471,👱,"blond , blond-haired person , hair , person: blond hair","금발, 금발 머리 사람, 머리, 금발 머리 사람"
\U0001F468,👨,"adult , man","성인, 남자"
\U0001F9D4,🧔,"beard , person , person: beard , bewhiskered","수염, 사람, 수염이 있는 사람, 수염"
\U0001F9D4 \U000200D \U0002642 \U000FE0F,🧔‍♂️,"beard , man , man: beard","수염, 남자, 수염있는 남자"
\U0001F9D4 \U000200D \U0002640 \U000FE0F,🧔‍♀️,"beard , woman , woman: beard","수염, 여자, 수염있는 여자"
\U0001F468 \U000200D \U0001F9B0,👨‍🦰,"adult , man , red hair","성인, 남자, 빨간 머리"
\U0001F468 \U000200D \U0001F9B1,👨‍🦱,"adult , curly hair , man","성인, 곱슬머리, 남자"
\U0001F468 \U000200D \U0001F9B3,👨‍🦳,"adult , man , white hair","성인, 남자, 흰 머리"
\U0001F468 \U000200D \U0001F9B2,👨‍🦲,"adult , bald , man","성인, 대머리, 남자"
\U0001F469,👩,"adult , woman","성인, 여자"
\U0001F469 \U000200D \U0001F9B0,👩‍🦰,"adult , red hair , woman","성인, 빨간 머리, 여자"
\U0001F9D1 \U000200D \U0001F9B0,🧑‍🦰,"adult , gender-neutral , person , red hair , unspecified gender","성인, 성별 중립, 사람, 빨간 머리, 미정 성별"
\U0001F469 \U000200D \U0001F9B1,👩‍🦱,"adult , curly hair , woman","성인, 곱슬머리, 여자"
\U0001F9D1 \U000200D \U0001F9B1,🧑‍🦱,"adult , curly hair , gender-neutral , person , unspecified gender","성인, 곱슬머리, 성별 중립, 사람, 미정 성별"
